time,open,high,low,close,Volume,Volume MA
1618064700,60368.85,60492.42,60323.56,60490.01,218.68834799999968,226.35154140000003
1618065000,60490,60499,60404.7,60437.56,157.8620269999995,204.15861905000014
1618065300,60437.57,60437.57,60365.6,60374.95,110.54238599999984,187.6518985500002
1618065600,60374.26,60386.16,60314.52,60338.92,148.07078800000045,184.57324830000022
1618065900,60338.92,60380.59,60255,60295,212.69120699999965,185.13956265000022
1618066200,60295,60365.93,60255.9,60335.02,152.92941499999955,182.95902680000023
1618066500,60335.02,60400.06,60335.02,60398.19,121.36310000000013,177.1345945000002
1618066800,60398.19,60465.94,60390.01,60403.76,177.16373099999953,177.8471943000002
1618067100,60403.76,60451.03,60342.4,60358.3,146.91739199999975,172.87751450000007
1618067400,60358.3,60379.09,60255.18,60283.23,160.43735400000017,170.0340935500001
1618067700,60283.23,60362.23,60130.32,60132.63,257.7505729999989,173.77350565
1618068000,60132.63,60194.35,60106.85,60179.26,215.53124100000034,178.19690160000005
1618068300,60179.26,60250,60179.26,60221.83,164.31106900000043,176.59697975
1618068600,60221.83,60287.75,60180.01,60208.01,168.00648799999982,174.8793177
1618068900,60208.01,60309.62,60150,60252.68,150.30417400000005,172.36501255000002
1618069200,60252.67,60350,60252.67,60340.19,130.7723029999995,169.34952655
1618069500,60340.19,60350,60246.27,60258.72,139.71480599999944,166.5113198
1618069800,60258.72,60263.56,60170,60199.98,165.18098699999953,166.56221225
1618070100,60199.98,60300.09,60190.69,60247.26,206.13650399999963,167.6539674
1618070400,60247.26,60550,60247.26,60485.93,415.61509499999767,180.99944939999995
1618070700,60485.92,60509.48,60385.7,60470.35,204.13972200000103,180.27201810000003
1618071000,60470.35,60527.09,60385,60404.83,171.09663699999913,180.9337486
1618071300,60404.83,60450,60367.9,60430.76,145.29385000000025,182.67132180000004
1618071600,60430.76,60435.56,60266.37,60286.95,251.10624799999937,187.82309479999998
1618071900,60286.95,60290.95,60116.14,60200.91,294.66856299999785,191.9219625999999
1618072200,60200.91,60295.76,60181.51,60242.33,181.76825500000018,193.36390459999993
1618072500,60240.18,60285.44,60189.08,60232.4,141.00013499999966,194.34575634999993
1618072800,60232.39,60364.01,60193.12,60343.58,135.09106899999983,192.24212324999993
1618073100,60343.59,60365.96,60234.89,60235.89,152.58042300000008,192.52527479999995
1618073400,60235.89,60294.33,60200.84,60217.77,155.4470780000002,192.27576099999993
1618073700,60217.77,60283.13,60175.51,60265,149.8936750000001,186.88291610000002
1618074000,60265,60265,60138.88,60211.35,191.992951,185.7060016
1618074300,60211.35,60252.46,60201.47,60240.29,131.15091199999995,184.04799375
1618074600,60240.29,60240.29,60124.51,60131.43,170.16347799999994,184.15584325
1618074900,60131.43,60137.78,59969.35,60036.86,445.55175900000046,198.9182225
1618075200,60036.87,60183.09,60032.73,60135.34,210.59701499999886,202.9094581
1618075500,60135.37,60190.65,60105.87,60139.28,137.01350399999941,202.774393
1618075800,60139.29,60209.51,60073.53,60195.57,160.2688589999998,202.52878660000002
1618076100,60195.57,60223.46,60145,60163.06,141.34776799999904,199.2893498
1618076400,60163.06,60165.54,60117,60122.87,133.74995600000105,185.19609285000016
1618076700,60122.87,60122.87,60016.23,60019.67,140.53669799999975,182.01594165000012
1618077000,60019.67,60100,59920.86,60005.67,281.590545999997,187.5406371
1618077300,60014.1,60100.49,59977.23,60100.48,214.96058100000008,191.02397365000002
1618077600,60100.48,60115.82,59920.87,59936.86,269.27613900000097,191.9324682000001
1618077900,59936.86,59943.21,59572.64,59735.51,584.8521159999976,206.44164585000007
1618078200,59735.51,59824.99,59627.29,59821.93,242.85160899999894,209.49581355000004
1618078500,59821.93,59977.3,59821.91,59932.18,281.5385569999992,216.52273465000002
1618078800,59932.19,59968.72,59901.92,59939.72,125.91353599999964,216.06385800000004
1618079100,59939.73,59952.12,59829.25,59854.9,199.81488099999984,218.42558090000003
1618079400,59854.89,59914.99,59771.49,59801.61,144.04775099999992,217.85561455
1618079700,59801.61,59896.65,59750,59858.76,117.42676400000043,216.23226900000003
1618080000,59858.75,59894.8,59770,59876.9,133.0245199999999,213.28384745000002
1618080300,59876.9,59896.45,59741.34,59896.45,121.86023100000011,212.8193134
1618080600,59896.97,59965.25,59887.99,59941.69,123.25205400000013,210.4737422
1618080900,59941.69,60033,59872.19,60020,116.35688400000004,194.01399845
1618081200,60020,60020.01,59895,59905.9,106.21813700000041,188.7950545500001
1618081500,59905.9,59927.84,59769.01,59777.84,189.38869500000007,191.4138141000001
1618081800,59777.83,59820.19,59664.56,59790.01,162.05151300000003,191.5029468000001
1618082100,59790.01,59790.01,59660,59723.38,104.33066900000064,189.6520918500002
1618082400,59723.38,59750,59647.26,59729.6,100.01927500000016,187.96555780000014
1618082700,59729.6,59785.1,59728.29,59770.34,84.32300700000006,185.15487325000015
1618083000,59770.33,59770.34,59672.52,59755.99,121.16880500000055,177.13378620000032
1618083300,59755.98,59791.83,59712.16,59712.47,103.23848899999977,171.54768160000032
1618083600,59712.47,59800,59697.52,59800,105.59737099999994,163.36374320000024
1618083900,59799.99,59806.04,59770.56,59800.77,62.84915499999998,137.26359515000036
1618084200,59800.78,59824.91,59756.5,59786.54,78.62229499999987,129.0521294500004
